,Battle,Date,Location,Result,belligerent,opp,own,pos,VorD,Infantry,Cavalry,Artillery,Ships,Airforce,Special,year
4449,Battle_of_Copenhagen_(1807),16 August – 5 September 1807,"Copenhagen
55°40′46″N 12°34′22″E﻿ / ﻿55.67944°N 12.57278°E﻿ / 55.67944; 12.57278Coordinates: 55°40′46″N 12°34′22″E﻿ / ﻿55.67944°N 12.57278°E﻿ / 55.67944; 12.57278",Decisive British victory. Danish navy surrendered to the United Kingdom.,Denmark,"25,000","10,000",R,D,10000,,,,,,1807
4450,Battle_of_Copenhagen_(1807),16 August – 5 September 1807,"Copenhagen
55°40′46″N 12°34′22″E﻿ / ﻿55.67944°N 12.57278°E﻿ / 55.67944; 12.57278Coordinates: 55°40′46″N 12°34′22″E﻿ / ﻿55.67944°N 12.57278°E﻿ / 55.67944; 12.57278",Decisive British victory. Danish navy surrendered to the United Kingdom.,Ernst Peymann,"25,000","10,000",R,D,10000,,,,,,1807
4451,Battle_of_Coral–Balmoral,12 May – 6 June 1968,"East of Lai Khe, Binh Duong Province, South Vietnam",Australian victory,Ronald Lawrence Hughes,"~3,000 to 4,000 men","~2,500 to 3,000 men
Armour
Artillery",L,V,2750,,,,,,1968
4452,Battle_of_Coral–Balmoral,12 May – 6 June 1968,"East of Lai Khe, Binh Duong Province, South Vietnam",Australian victory,Donald Dunstan (governor),"~3,000 to 4,000 men","~2,500 to 3,000 men
Armour
Artillery",L,V,2750,,,,,,1968
4453,Battle_of_Coral–Balmoral,12 May – 6 June 1968,"East of Lai Khe, Binh Duong Province, South Vietnam",Australian victory,Phillip Bennett,"~3,000 to 4,000 men","~2,500 to 3,000 men
Armour
Artillery",L,V,2750,,,,,,1968
4454,Battle_of_Coronel,1-Nov-14,"Pacific Ocean off Coronel, Chile",German victory,Christopher Cradock,"2 armoured cruisers
3 light cruisers","2 armoured cruisers
1 light cruiser
1 auxiliary cruiser",L,D,,,,4,,,1914
4455,Battle_of_Coronel,1-Nov-14,"Pacific Ocean off Coronel, Chile",German victory,John Luce (Royal Navy officer),"2 armoured cruisers
3 light cruisers","2 armoured cruisers
1 light cruiser
1 auxiliary cruiser",L,D,,,,4,,,1914
4456,Battle_of_Coronel,1-Nov-14,"Pacific Ocean off Coronel, Chile",German victory,Maximilian von Spee,"2 armoured cruisers
1 light cruiser
1 auxiliary cruiser","2 armoured cruisers
3 light cruisers",R,V,,,,5,,,1914
4457,Battle_of_Corregidor,"May 5–6, 1942","Corregidor island in Manila Bay, Luzon Island, Philippines",Japanese victory,Masaharu Homma,"13,000 US and Filipino troops","75,000 Japanese troops",R,V,75000,,,,,,1942
4458,Battle_of_Corregidor,"May 5–6, 1942","Corregidor island in Manila Bay, Luzon Island, Philippines",Japanese victory,Jonathan M. Wainwright (general),"75,000 Japanese troops","13,000 US and Filipino troops",L,D,13000,,,,,,1942
4459,Battle_of_Corregidor,"May 5–6, 1942","Corregidor island in Manila Bay, Luzon Island, Philippines",Japanese victory,George F. Moore (general),"75,000 Japanese troops","13,000 US and Filipino troops",L,D,13000,,,,,,1942
4460,Battle_of_Corregidor,"May 5–6, 1942","Corregidor island in Manila Bay, Luzon Island, Philippines",Japanese victory,Samuel L. Howard,"75,000 Japanese troops","13,000 US and Filipino troops",L,D,13000,,,,,,1942
4461,Battle_of_Corunna,16 January 1809,"Corunna, Galicia","British tactical victory[1][2][3][a]
French strategic victory[4][5][6]",John Moore (British Army officer),"16,000:[9]
12,000 infantry
3,200 cavalry
20 guns","16,000:
15,000 infantry[7]
9 to 12 guns[8]",L,V,15000,,10,,,,1809
4462,Battle_of_Corunna,16 January 1809,"Corunna, Galicia","British tactical victory[1][2][3][a]
French strategic victory[4][5][6]","Sir David Baird, 1st Baronet","16,000:[9]
12,000 infantry
3,200 cavalry
20 guns","16,000:
15,000 infantry[7]
9 to 12 guns[8]",L,V,15000,,10,,,,1809
4463,Battle_of_Corunna,16 January 1809,"Corunna, Galicia","British tactical victory[1][2][3][a]
French strategic victory[4][5][6]",Jean-de-Dieu Soult,"16,000:
15,000 infantry[7]
9 to 12 guns[8]","16,000:[9]
12,000 infantry
3,200 cavalry
20 guns",R,D,12000,3200,20,,,,1809
4464,Battle_of_Corydon,"July 9, 1863 (1863-07-09)","Corydon, Indiana, U.S.
38°11′56″N 86°07′44″W﻿ / ﻿38.199°N 86.129°W﻿ / 38.199; -86.129Coordinates: 38°11′56″N 86°07′44″W﻿ / ﻿38.199°N 86.129°W﻿ / 38.199; -86.129",Confederate victory,John Hunt Morgan,400 [1],"1,800 [1]
4 artillery pieces",L,D,1800,,4,,,,1863
4465,Battle_of_Corydon,"July 9, 1863 (1863-07-09)","Corydon, Indiana, U.S.
38°11′56″N 86°07′44″W﻿ / ﻿38.199°N 86.129°W﻿ / 38.199; -86.129Coordinates: 38°11′56″N 86°07′44″W﻿ / ﻿38.199°N 86.129°W﻿ / 38.199; -86.129",Confederate victory,Edward H. Hobson,"1,800 [1]
4 artillery pieces",400 [1],R,V,400,,,,,,1863
4466,Battle_of_Corydon,"July 9, 1863 (1863-07-09)","Corydon, Indiana, U.S.
38°11′56″N 86°07′44″W﻿ / ﻿38.199°N 86.129°W﻿ / 38.199; -86.129Coordinates: 38°11′56″N 86°07′44″W﻿ / ﻿38.199°N 86.129°W﻿ / 38.199; -86.129",Confederate victory,Lewis Jordan,"1,800 [1]
4 artillery pieces",400 [1],R,V,400,,,,,,1863
4467,Battle_of_Cove_Mountain,"May 10, 1864 (1864-05-10)","Wythe County, Virginia",Inconclusive,William E. Jones,"2,500 [1]","4,000 [1]",R,I,4000,,,,,,1864
4468,Battle_of_Cove_Mountain,"May 10, 1864 (1864-05-10)","Wythe County, Virginia",Inconclusive,William W. Averell,"4,000 [1]","2,500 [1]",L,I,2500,,,,,,1864
4469,Battle_of_Cowpens,"January 17, 1781","Cherokee County,
near Cowpens, South Carolina",Decisive American victory,Daniel Morgan,"1,150
2 guns[1]","1,887–1,912[1]",L,V,1900,,,,,,1781
4470,Battle_of_Cowpens,"January 17, 1781","Cherokee County,
near Cowpens, South Carolina",Decisive American victory,Banastre Tarleton,"1,887–1,912[1]","1,150
2 guns[1]",R,D,1150,,2,,,,1781
4471,Battle_of_Craney_Island,"June 22, 1813","Portsmouth, Virginia",American victory,"Sir George Cockburn, 10th Baronet",750,"2,000",L,D,2000,,,,,,1813
4472,Battle_of_Craney_Island,"June 22, 1813","Portsmouth, Virginia",American victory,John Borlase Warren,750,"2,000",L,D,2000,,,,,,1813
4473,Battle_of_Craney_Island,"June 22, 1813","Portsmouth, Virginia",American victory,Robert Barraud Taylor,"2,000",750,R,V,750,,,,,,1813
4474,Battle_of_Craonne,7 March 1814,"Craonne, France",French victory,Gebhard Leberecht von Blücher,"30,000[1]","50,000[1]",R,D,50000,,,,,,1814
4475,Battle_of_Craonne,7 March 1814,"Craonne, France",French victory,Mikhail Semyonovich Vorontsov,"30,000[1]","50,000[1]",R,D,50000,,,,,,1814
4476,Battle_of_Craonne,7 March 1814,"Craonne, France",French victory,Napoleon,"50,000[1]","30,000[1]",L,V,30000,,,,,,1814
4477,Battle_of_Craonne,7 March 1814,"Craonne, France",French victory,Michel Ney,"50,000[1]","30,000[1]",L,V,30000,,,,,,1814
4478,Battle_of_Craonne,7 March 1814,"Craonne, France",French victory,Étienne Marie Antoine Champion de Nansouty,"50,000[1]","30,000[1]",L,V,30000,,,,,,1814
4479,Battle_of_Crete,20 May – 1 June 1941 (13 days),"Crete, Greece",Axis victory[1][2][3],"Bernard Freyberg, 1st Baron Freyberg","Germany:
14,000[citation needed] paratroopers
15,000[citation needed] mountain troopers (together 29,000 in Greece, but only 22,040 could be transported to the island)
280 bombers
150 dive bombers
180 fighters
500 transports
80 troop gliders
Italy:
2,700","United Kingdom:
15,000
Greece:
11,451[4]
Australia:
7,100
New Zealand:
6,700
Total:
40,000–61,800[5] (10,000 without fighting capacity)[6]",L,D,40900,,,,,,1941
4480,Battle_of_Crete,20 May – 1 June 1941 (13 days),"Crete, Greece",Axis victory[1][2][3],Kurt Student,"United Kingdom:
15,000
Greece:
11,451[4]
Australia:
7,100
New Zealand:
6,700
Total:
40,000–61,800[5] (10,000 without fighting capacity)[6]","Germany:
14,000[citation needed] paratroopers
15,000[citation needed] mountain troopers (together 29,000 in Greece, but only 22,040 could be transported to the island)
280 bombers
150 dive bombers
180 fighters
500 transports
80 troop gliders
Italy:
2,700",R,V,24110,,,,610,,1941
4481,Battle_of_Crooked_Billet,"May 1, 1778","Crooked Billet Tavern
(Present-day Hatboro, Pennsylvania)",British victory,John Graves Simcoe,300-500,850,R,V,850,,,,,,1778
4482,Battle_of_Crooked_Billet,"May 1, 1778","Crooked Billet Tavern
(Present-day Hatboro, Pennsylvania)",British victory,Robert Abercromby of Airthrey,300-500,850,R,V,850,,,,,,1778
4483,Battle_of_Crooked_Billet,"May 1, 1778","Crooked Billet Tavern
(Present-day Hatboro, Pennsylvania)",British victory,John Lacey (general),850,300-500,L,D,400,,,,,,1778
4484,Battle_of_Cropredy_Bridge,29 June 1644,"Cropredy, near Banbury, Oxfordshire",Royalist victory,William Waller,"5,000 horse
4,000 foot
(only part engaged)","5,000 horse
4,000 foot
(only part engaged)",L,D,4000,5000,,,,,1644
4485,Battle_of_Cropredy_Bridge,29 June 1644,"Cropredy, near Banbury, Oxfordshire",Royalist victory,Charles I of England,"5,000 horse
4,000 foot
(only part engaged)","5,000 horse
4,000 foot
(only part engaged)",R,V,4000,5000,,,,,1644
4486,Battle_of_Cross_Keys,"June 8, 1862 (1862-06-08)","Rockingham County, Virginia",Confederate victory,John C. Frémont,"5,800[2]","11,500[1]",L,D,11500,,,,,,1862
4487,Battle_of_Cross_Keys,"June 8, 1862 (1862-06-08)","Rockingham County, Virginia",Confederate victory,Richard S. Ewell,"11,500[1]","5,800[2]",R,V,5800,,,,,,1862
4488,Battle_of_Crysler's_Farm,11 November 1813,"Near Cornwall, Ontario",British victory[1],James Wilkinson,900 regulars and militia,"8,000 regulars
(2,500 – 4,000 engaged)",R,D,8000,,,,,,1813
4489,Battle_of_Crysler's_Farm,11 November 1813,"Near Cornwall, Ontario",British victory[1],John Parker Boyd,900 regulars and militia,"8,000 regulars
(2,500 – 4,000 engaged)",R,D,8000,,,,,,1813
4490,Battle_of_Crysler's_Farm,11 November 1813,"Near Cornwall, Ontario",British victory[1],Leonard Covington,900 regulars and militia,"8,000 regulars
(2,500 – 4,000 engaged)",R,D,8000,,,,,,1813
4491,Battle_of_Crysler's_Farm,11 November 1813,"Near Cornwall, Ontario",British victory[1],William Mulcaster,"8,000 regulars
(2,500 – 4,000 engaged)",900 regulars and militia,L,V,900,,,,,,1813
4492,Battle_of_Crysler's_Farm,11 November 1813,"Near Cornwall, Ontario",British victory[1],Joseph Wanton Morrison,"8,000 regulars
(2,500 – 4,000 engaged)",900 regulars and militia,L,V,900,,,,,,1813
4493,Battle_of_Ctesiphon_(1915),22 November 1915 – 25 November 1915,"Ctesiphon, present-day Iraq","Tactically inconclusive, strategic Ottoman victory",Nureddin Pasha,"11,000 troops,
2 warships","18,000 troops,
52 guns",R,I,18000,,52,,,,1915
4494,Battle_of_Ctesiphon_(1915),22 November 1915 – 25 November 1915,"Ctesiphon, present-day Iraq","Tactically inconclusive, strategic Ottoman victory",Charles Vere Ferrers Townshend,"18,000 troops,
52 guns","11,000 troops,
2 warships",L,I,11000,,,2,,,1915
4495,Battle_of_Cuddalore_(1758),29 April 1758,"Off Cuddalore, India",Indecisive[1],George Pocock,"7 ships of the line, plus frigates",8 ships of the line[a],L,I,,,,8,,,1758
4496,Battle_of_Cuddalore_(1758),29 April 1758,"Off Cuddalore, India",Indecisive[1],"Anne Antoine, Comte d'Aché",8 ships of the line[a],"7 ships of the line, plus frigates",R,I,,,,8,,,1758
4497,Battle_of_Cuddalore_(1783),20 June 1783,"Bay of Bengal
11°45′N 79°45′E﻿ / ﻿11.75°N 79.75°E﻿ / 11.75; 79.75Coordinates: 11°45′N 79°45′E﻿ / ﻿11.75°N 79.75°E﻿ / 11.75; 79.75",French victory[1],Edward Hughes (Royal Navy officer),15 ships of the line,18 ships of the line,L,D,,,,18,,,1783
4498,Battle_of_Cuddalore_(1783),20 June 1783,"Bay of Bengal
11°45′N 79°45′E﻿ / ﻿11.75°N 79.75°E﻿ / 11.75; 79.75Coordinates: 11°45′N 79°45′E﻿ / ﻿11.75°N 79.75°E﻿ / 11.75; 79.75",French victory[1],Pierre André de Suffren,18 ships of the line,15 ships of the line,R,V,,,,15,,,1783
4499,Battle_of_Culloden_Moor,16 April 1746,"Culloden, east of Inverness
grid reference NH742450[1]
Coordinates: 57°28′42″N 4°5′51″W﻿ / ﻿57.47833°N 4.09750°W﻿ / 57.47833; -4.09750","Decisive Government victory
End of Jacobite rising","Prince William, Duke of Cumberland","7,000
12 guns","8,000
10 guns
6 mortars",L,V,8000,,16,,,,1746
4500,Battle_of_Culloden_Moor,16 April 1746,"Culloden, east of Inverness
grid reference NH742450[1]
Coordinates: 57°28′42″N 4°5′51″W﻿ / ﻿57.47833°N 4.09750°W﻿ / 57.47833; -4.09750","Decisive Government victory
End of Jacobite rising",Charles Edward Stuart,"8,000
10 guns
6 mortars","7,000
12 guns",R,D,7000,,12,,,,1746
4501,Battle_of_Cumberland_Church,"April 7, 1865 (1865-04-07)","Cumberland County, Virginia,
near Farmville, Virginia",Confederate victory,Robert E. Lee,"12,000[1]","12,000[1]",R,V,12000,,,,,,1865
4502,Battle_of_Cumberland_Church,"April 7, 1865 (1865-04-07)","Cumberland County, Virginia,
near Farmville, Virginia",Confederate victory,Thomas L. Rosser,"12,000[1]","12,000[1]",R,V,12000,,,,,,1865
4503,Battle_of_Cumberland_Church,"April 7, 1865 (1865-04-07)","Cumberland County, Virginia,
near Farmville, Virginia",Confederate victory,Thomas T. Munford,"12,000[1]","12,000[1]",R,V,12000,,,,,,1865
4504,Battle_of_Cumberland_Church,"April 7, 1865 (1865-04-07)","Cumberland County, Virginia,
near Farmville, Virginia",Confederate victory,Andrew A. Humphreys,"12,000[1]","12,000[1]",L,D,12000,,,,,,1865
4505,Battle_of_Cumberland_Church,"April 7, 1865 (1865-04-07)","Cumberland County, Virginia,
near Farmville, Virginia",Confederate victory,George Crook,"12,000[1]","12,000[1]",L,D,12000,,,,,,1865
4506,Battle_of_Cumberland_Church,"April 7, 1865 (1865-04-07)","Cumberland County, Virginia,
near Farmville, Virginia",Confederate victory,John Irvin Gregg,"12,000[1]","12,000[1]",L,D,12000,,,,,,1865
4507,Battle_of_Curupaity,"September 22, 1866","Curupaity, Paraguay","Paraguayan victory

Allied attack repelled;
Massacre of Allied troops;
Biggest defeat of the allied troops in the war;
Allied advance stalled.",Bartolomé Mitre,"5,000
49 cannons[1]:63","11,000 Brazilians
9,000 Argentines
8 Ironclads and 3 Gunboats Imperial Navy[1]:63",R,D,20000,,11,,,,1866
4508,Battle_of_Curupaity,"September 22, 1866","Curupaity, Paraguay","Paraguayan victory

Allied attack repelled;
Massacre of Allied troops;
Biggest defeat of the allied troops in the war;
Allied advance stalled.","Joaquim Marques Lisboa, Marquis of Tamandaré","5,000
49 cannons[1]:63","11,000 Brazilians
9,000 Argentines
8 Ironclads and 3 Gunboats Imperial Navy[1]:63",R,D,20000,,11,,,,1866
4509,Battle_of_Curupaity,"September 22, 1866","Curupaity, Paraguay","Paraguayan victory

Allied attack repelled;
Massacre of Allied troops;
Biggest defeat of the allied troops in the war;
Allied advance stalled.",José E. Díaz,"11,000 Brazilians
9,000 Argentines
8 Ironclads and 3 Gunboats Imperial Navy[1]:63","5,000
49 cannons[1]:63",L,V,5000,,49,,,,1866
4510,Battle_of_Custoza_(1848),23–26 July 1848,"Custoza, Lombardy-Venetia",Austrian victory,Joseph Radetzky von Radetz,"22,000","33,000",L,V,33000,,,,,,1848
4511,Battle_of_Custoza_(1848),23–26 July 1848,"Custoza, Lombardy-Venetia",Austrian victory,Eugen Wratislaw von Mitrowitz,"22,000","33,000",L,V,33000,,,,,,1848
4512,Battle_of_Custoza_(1848),23–26 July 1848,"Custoza, Lombardy-Venetia",Austrian victory,Charles Albert of Sardinia,"33,000","22,000",R,D,22000,,,,,,1848
4513,Battle_of_Custoza_(1848),23–26 July 1848,"Custoza, Lombardy-Venetia",Austrian victory,Eusebio Bava,"33,000","22,000",R,D,22000,,,,,,1848
4514,Battle_of_Custoza_(1866),24 June 1866,"Custoza, Venetia",Austrian victory,"Archduke Albrecht, Duke of Teschen","120,000
Of which only 65,000 crossed the Mincio","75,000",R,V,75000,,,,,,1866
4515,Battle_of_Custoza_(1866),24 June 1866,"Custoza, Venetia",Austrian victory,Alfonso Ferrero La Marmora,"75,000","120,000
Of which only 65,000 crossed the Mincio",L,D,65000,,,,,,1866
4516,Battle_of_Cut_Knife,"May 2, 1885","Near Battleford, Saskatchewan",Cree–Assiniboine victory,William Dillon Otter,50[1] to 250[2],350,R,D,350,,,,,,1885
4517,Battle_of_Cut_Knife,"May 2, 1885","Near Battleford, Saskatchewan",Cree–Assiniboine victory,Pitikwahanapiwiyin,350,50[1] to 250[2],L,V,150,,,,,,1885
4518,Battle_of_Cut_Knife,"May 2, 1885","Near Battleford, Saskatchewan",Cree–Assiniboine victory,Fine-Day,350,50[1] to 250[2],L,V,150,,,,,,1885
4519,Battle_of_Czasniki_(1812),31 October 1812,"Chashniki (Czasniki), Belarus",Marginal Russian victory,"Claude Victor-Perrin, Duc de Belluno","30,000, of whom 11,000 were involved","36,000, of whom 10,000 to 18,000 were involved",R,D,36000,,,,,,1812
4520,Battle_of_Czasniki_(1812),31 October 1812,"Chashniki (Czasniki), Belarus",Marginal Russian victory,Peter Wittgenstein,"36,000, of whom 10,000 to 18,000 were involved","30,000, of whom 11,000 were involved",L,V,30000,,,,,,1812
4521,Battle_of_CzÄ™stochowa,,,,,,,R,D,310,,27,,,,
4523,Battle_of_Dairen,24–26 May 1904,"North of Port Arthur, Manchuria","Tactical Russian victory
Strategic Japanese pyrrhic victory",Oku Yasukata,"3,800","35,500",L,V,35500,,,,,,1904
4524,Battle_of_Dairen,24–26 May 1904,"North of Port Arthur, Manchuria","Tactical Russian victory
Strategic Japanese pyrrhic victory",Anatoly Stessel,"35,500","3,800",R,D,3800,,,,,,1904
4525,Battle_of_Dairen,24–26 May 1904,"North of Port Arthur, Manchuria","Tactical Russian victory
Strategic Japanese pyrrhic victory",Alexander Fok,"35,500","3,800",R,D,3800,,,,,,1904
4526,Battle_of_Dallas,"May 26, 1864 (1864-05-26)–June 1, 1864 (1864-06-01)","Paulding County, Georgia",Union victory,William Tecumseh Sherman,"40,000 [1]","80,000 [1]",L,V,80000,,,,,,1864
4527,Battle_of_Dallas,"May 26, 1864 (1864-05-26)–June 1, 1864 (1864-06-01)","Paulding County, Georgia",Union victory,Joseph E. Johnston,"80,000 [1]","40,000 [1]",R,D,40000,,,,,,1864
4528,Battle_of_Damghan_(1729),"September 29 – October 5, 1729",Mihmandoost near Damghan,Decisive Persian victory,Ashraf Hotak,"~25,000","40,000-50,000",R,D,45000,,,,,,1729
4529,Battle_of_Damghan_(1729),"September 29 – October 5, 1729",Mihmandoost near Damghan,Decisive Persian victory,Nader Shah,"40,000-50,000","~25,000",L,V,25000,,,,,,1729
4530,Battle_of_Dandridge,"January 17, 1864 (1864-01-17)","Jefferson County, Tennessee",Confederate victory,Samuel D. Sturgis,unknown,unknown,L,D,1,,,,,,1864
4531,Battle_of_Dandridge,"January 17, 1864 (1864-01-17)","Jefferson County, Tennessee",Confederate victory,James Longstreet,unknown,unknown,R,V,1,,,,,,1864
4532,Battle_of_Danubyu,"5 March 1824 – 24 February 1826
(1 year, 11 months, and 19 days)","Burma, East Bengal, Assam, Manipur, Cachar and Jaintia","British victory

Treaty of Yandabo
Beginning of British rule in Burma","Sir Archibald Campbell, 1st Baronet","40,000","50,000",L,V,50000,,,,,,1824
4533,Battle_of_Danubyu,"5 March 1824 – 24 February 1826
(1 year, 11 months, and 19 days)","Burma, East Bengal, Assam, Manipur, Cachar and Jaintia","British victory

Treaty of Yandabo
Beginning of British rule in Burma",Joseph Wanton Morrison,"40,000","50,000",L,V,50000,,,,,,1824
4534,Battle_of_Danubyu,"5 March 1824 – 24 February 1826
(1 year, 11 months, and 19 days)","Burma, East Bengal, Assam, Manipur, Cachar and Jaintia","British victory

Treaty of Yandabo
Beginning of British rule in Burma",Maha Bandula,"50,000","40,000",R,D,40000,,,,,,1824
4535,Battle_of_Danubyu,"5 March 1824 – 24 February 1826
(1 year, 11 months, and 19 days)","Burma, East Bengal, Assam, Manipur, Cachar and Jaintia","British victory

Treaty of Yandabo
Beginning of British rule in Burma",Maha Ne Myo,"50,000","40,000",R,D,40000,,,,,,1824
4536,Battle_of_Darbytown_Road,"October 13, 1864 (1864-10-13)","Henrico County,
near Sandston, Virginia",Confederate victory,Alfred Terry,Corps,X Corps,L,D,1,,,,,,1864
4537,Battle_of_Darbytown_Road,"October 13, 1864 (1864-10-13)","Henrico County,
near Sandston, Virginia",Confederate victory,Richard H. Anderson,X Corps,Corps,R,V,1,,,,,,1864
4538,Battle_of_Daugavpils,3-5 Jan. 1920,"Daugavpils and vicinity, Latvia",Decisive Polish-Latvian victory,Edward Rydz-Śmigły,Unknown,"22,000 Latvians
20,000 Poles",L,V,42000,,,,,,1920
4539,Battle_of_Daugavpils,3-5 Jan. 1920,"Daugavpils and vicinity, Latvia",Decisive Polish-Latvian victory,Jānis Puriņš (1889—1944),Unknown,"22,000 Latvians
20,000 Poles",L,V,42000,,,,,,1920
4540,Battle_of_Davis'_Cross_Roads,"September 10, 1863 (1863-09-10)–September 11, 1863 (1863-09-11)","Dade County, Georgia and Walker County, Georgia",Inconclusive[1],Thomas C. Hindman,"8,000","12,000",R,I,12000,,,,,,1863
4541,Battle_of_Davis'_Cross_Roads,"September 10, 1863 (1863-09-10)–September 11, 1863 (1863-09-11)","Dade County, Georgia and Walker County, Georgia",Inconclusive[1],John C. Breckinridge,"8,000","12,000",R,I,12000,,,,,,1863
4542,Battle_of_Davis'_Cross_Roads,"September 10, 1863 (1863-09-10)–September 11, 1863 (1863-09-11)","Dade County, Georgia and Walker County, Georgia",Inconclusive[1],James S. Negley,"12,000","8,000",L,I,8000,,,,,,1863
4543,Battle_of_Day's_Gap,"April 30, 1863 (1863-04-30)","Cullman County, Alabama
34°18′34.56″N 87°00′39.6″W﻿ / ﻿34.3096000°N 87.011000°W﻿ / 34.3096000; -87.011000",Union victory[1],Abel Streight,600,"1,500",L,V,1500,,,,,,1863
4544,Battle_of_Day's_Gap,"April 30, 1863 (1863-04-30)","Cullman County, Alabama
34°18′34.56″N 87°00′39.6″W﻿ / ﻿34.3096000°N 87.011000°W﻿ / 34.3096000; -87.011000",Union victory[1],Nathan Bedford Forrest,"1,500",600,R,D,60,,,,,,1863
4545,Battle_of_Dead_Buffalo_Lake,"July 26, 1863 (1863-07-26)","Dakota Territory
Present-day Kidder County, North Dakota",United States victory,Henry Hastings Sibley,"1,600","2,056",L,V,2056,,,,,,1863
4546,Battle_of_Dead_Buffalo_Lake,"July 26, 1863 (1863-07-26)","Dakota Territory
Present-day Kidder County, North Dakota",United States victory,Inkpaduta,"2,056","1,600",R,D,1600,,,,,,1863
4547,Battle_of_Dead_Buffalo_Lake,"July 26, 1863 (1863-07-26)","Dakota Territory
Present-day Kidder County, North Dakota",United States victory,Sitting Bull,"2,056","1,600",R,D,1600,,,,,,1863
4548,Battle_of_Dead_Buffalo_Lake,"July 26, 1863 (1863-07-26)","Dakota Territory
Present-day Kidder County, North Dakota",United States victory,Gall,"2,056","1,600",R,D,1600,,,,,,1863
4549,Battle_of_Debre_Tabor,7 February 1842,Debre Tabor,Pyrrhic victory for Ras Ali II,Ali II of Yejju,"about 30,000","about 30,000",L,V,30000,,,,,,1842
4550,Battle_of_Debre_Tabor,7 February 1842,Debre Tabor,Pyrrhic victory for Ras Ali II,Wube Haile Maryam,"about 30,000","about 30,000",R,D,30000,,,,,,1842
4551,Battle_of_Debrecen,6–29 October 1944,"Debrecen / Nyíregyháza, Hungary","Tactical German victory
Strategic Soviet victory",Rodion Malinovsky,"80,000","260,000",R,D,260000,,,,,,1944
4552,Battle_of_Debrecen,6–29 October 1944,"Debrecen / Nyíregyháza, Hungary","Tactical German victory
Strategic Soviet victory",Steppe Front,"80,000","260,000",R,D,260000,,,,,,1944
4553,Battle_of_Debrecen,6–29 October 1944,"Debrecen / Nyíregyháza, Hungary","Tactical German victory
Strategic Soviet victory",Issa Pliyev,"80,000","260,000",R,D,260000,,,,,,1944
4554,Battle_of_Debrecen,6–29 October 1944,"Debrecen / Nyíregyháza, Hungary","Tactical German victory
Strategic Soviet victory",Gheorghe Avramescu,"80,000","260,000",R,D,260000,,,,,,1944
4555,Battle_of_Debrecen,6–29 October 1944,"Debrecen / Nyíregyháza, Hungary","Tactical German victory
Strategic Soviet victory",Johannes Frießner,"260,000","80,000",L,V,80000,,,,,,1944
4556,Battle_of_Debrecen,6–29 October 1944,"Debrecen / Nyíregyháza, Hungary","Tactical German victory
Strategic Soviet victory",Army Group South,"260,000","80,000",L,V,80000,,,,,,1944
4557,Battle_of_Debrecen,6–29 October 1944,"Debrecen / Nyíregyháza, Hungary","Tactical German victory
Strategic Soviet victory",Maximilian Fretter-Pico,"260,000","80,000",L,V,80000,,,,,,1944
4558,Battle_of_Debrecen,6–29 October 1944,"Debrecen / Nyíregyháza, Hungary","Tactical German victory
Strategic Soviet victory",6th Army (Wehrmacht),"260,000","80,000",L,V,80000,,,,,,1944
4559,Battle_of_Debrecen,6–29 October 1944,"Debrecen / Nyíregyháza, Hungary","Tactical German victory
Strategic Soviet victory",József Heszlényi,"260,000","80,000",L,V,80000,,,,,,1944
4560,Battle_of_Debrecen,6–29 October 1944,"Debrecen / Nyíregyháza, Hungary","Tactical German victory
Strategic Soviet victory",Third Army (Hungary),"260,000","80,000",L,V,80000,,,,,,1944
4561,Battle_of_Decatur,"October 26 (1864-10-26)–29, 1864 (1864-10-30)","Decatur, Alabama
Morgan County",Union victory,John Bell Hood,"3,000–5,000[1]","39,000[2]",R,D,39000,,,,,,1864
4562,Battle_of_Decatur,"October 26 (1864-10-26)–29, 1864 (1864-10-30)","Decatur, Alabama
Morgan County",Union victory,Robert S. Granger,"39,000[2]","3,000–5,000[1]",L,V,4000,,,,,,1864
4563,Battle_of_Delhi_(1803),11 September 1803,"Delhi, Maratha Empire",British victory,"Gerard Lake, 1st Viscount Lake","17,000","4,500",L,V,4500,,,,,,1803
4564,Battle_of_Deligrad,"December, 1806","Deligrad, Serbia",Decisive Serbian victory[1],Ibrahim Pasha of Scutari,"30,000","55,000",R,D,55000,,,,,,1806
4565,Battle_of_Deligrad,"December, 1806","Deligrad, Serbia",Decisive Serbian victory[1],Karađorđe,"55,000","30,000",L,V,30000,,,,,,1806
4566,Battle_of_Deligrad,"December, 1806","Deligrad, Serbia",Decisive Serbian victory[1],Stanoje Glavaš,"55,000","30,000",L,V,30000,,,,,,1806
4567,Battle_of_Deligrad,"December, 1806","Deligrad, Serbia",Decisive Serbian victory[1],Mladen Milovanović,"55,000","30,000",L,V,30000,,,,,,1806
4568,Battle_of_Deligrad,"December, 1806","Deligrad, Serbia",Decisive Serbian victory[1],Tomo Milinović,"55,000","30,000",L,V,30000,,,,,,1806
4569,Battle_of_Denain,24 July 1712,"Denain, present-day France",Decisive French victory[1][2],Claude Louis Hector de Villars,"10,500","24,000",L,V,24000,,,,,,1712
4570,Battle_of_Denain,24 July 1712,"Denain, present-day France",Decisive French victory[1][2],Prince Eugene of Savoy,"24,000","10,500",R,D,10500,,,,,,1712
