Battle Name,Description
Battle of Isaszeg (1849),"The Battle of Isaszeg (6 April 1849) took place in the Spring Campaign of the Hungarian War of Independence from 1848 to 1849, between the Austrian Empire and the Hungarian Revolutionary Army supplemented by Polish volunteers. The Austrian forces were led by Field Marshal Alfred I, Prince of Windisch-Grätz and the Hungarians by General Artúr Görgei. The battle was one of the turning points of the Hungarian War of Independence, being the decisive engagement of the so-called Gödöllő operation, and closing the first phase of the Spring Campaign.
This battle was the first battle between the Hungarian and the Habsburg main armies after the Battle of Kápolna, the Hungarian revolutionary army proving that they can beat the main army of one of the most powerful empires of the time. The Hungarian victory precipitated a series of setbacks to the Habsburg Imperial Armies in April–May 1849, forcing them to retreat from occupied central and western Hungary, towards the western border, opening the way towards Pest-Buda and Komárom, and convincing the Hungarian National Assembly to issue the Hungarian Declaration of Independence (from the Habsburg Dynasty). Windisch-Grätz was dismissed from the leadership of the Imperial forces in Hungary on 12 April 1849, six days after the defeat."
Battle of Isonzo (489),"The Battle of the Isonzo, the Battle of the Aesontius, or the Battle of the Isontius, is the name given to the battle fought on August 28, 489, on the banks of the Isontius River, not far away from Aquileia. This river is now known as the Isonzo in Italian, and Soča in Slovene. 
Theodoric the Great, king of the Ostrogoths, in 489 opened his first campaign against Odoacer to wrest Italy from him. On 28 August, the two armies met on the banks of the Isontius. Theodoric defeated Odoacer, who retreated. A second battle was fought at Verona."
Battle of Issus,"The Battle of Issus (also Issos) occurred in southern Anatolia, on 5 November 333 BC between the Hellenic League led by Alexander the Great and the Achaemenid Empire, led by Darius III. It was the second great battle of Alexander's conquest of Asia, and the first encounter between Darius III and Alexander the Great. The battle resulted in the Macedonian troops defeating the Persian forces. 
After the Hellenic League soundly defeated the Persian satraps of Asia Minor (led by Greek mercenary Memnon of Rhodes) at the Battle of the Granicus, Darius took personal command of his army. He gathered reinforcements and proceeded to lead his men in a surprise march behind the Hellenic advance, in order to cut off their line of supply. Alexander was forced to countermarch, and the stage was set for the battle near the mouth of the Pinarus River and the town of Issus."
Battle of Ituzaingó,"The Battle of Ituzaingó, also known as the Battle of Passo do Rosário, was a pitched battle fought in the vicinity of the Santa Maria River, in a valley of small hills where a stream divided the valley into two.
After a two-year series of continuous sundry skirmishes in the Banda Oriental (present-day Uruguay and Rio Grande do Sul) and along the border of this region with Brazil, the advancing Argentine Army (including Orientals) engaged in combat with the Imperial Brazilian Army. 
The battle lasted for about six hours, beginning at around six in the morning of 20 February 1827."
Battle of Iwo Jima,"The Battle of Iwo Jima (19 February – 26 March 1945) was a major battle in which the United States Marine Corps (USMC) and United States Navy (USN) landed on and eventually captured the island of Iwo Jima from the Imperial Japanese Army (IJA) during World War II. The American invasion, designated Operation Detachment, had the purpose of capturing the island with its two airfields: South Field and Central Field.
The Japanese Army positions on the island were heavily fortified, with a dense network of bunkers, hidden artillery positions, and 18 km (11 mi) of tunnels. The American ground forces were supported by extensive naval artillery and had complete air supremacy provided by U.S. Navy and Marine Corps aviators throughout the battle. The five-week battle saw some of the fiercest and bloodiest fighting of the Pacific War.
The Japanese combat deaths numbered three times the number of American deaths, but unique among Pacific War Marine battles, the American total casualties (dead and wounded) exceeded those of the Japanese. Of the 21,000 Japanese soldiers on Iwo Jima at the beginning of the battle, only 216 were taken prisoner, some of whom were captured only because they had been knocked unconscious or otherwise disabled. Most of the remainder were killed in action, but it has been estimated that as many as 3,000 continued to resist within the various cave systems for many days afterwards until they eventually succumbed to their injuries or surrendered weeks later.
The action was controversial, with retired Chief of Naval Operations William V. Pratt stating that the island was useless to the Army as a staging base and useless to the Navy as a fleet base. The Japanese continued to have early-warning radar from Rota island, which was never invaded. Experiences with previous Pacific island battles suggested that the island would be well-defended and thus casualties would be significant. 
Joe Rosenthal's Associated Press photograph of the raising of the U.S. flag at the top of the 169 m (554 ft) Mount Suribachi by six U.S. Marines became a famous image of the battle and the American war effort in the Pacific."
"Battle of Jackson, Mississippi","The Battle of Jackson was fought on May 14, 1863, in Jackson, Mississippi, as part of the Vicksburg campaign during the American Civil War. After entering the state of Mississippi in late April 1863, Major General Ulysses S. Grant of the Union Army moved his force inland to strike at the strategic Mississippi River town of Vicksburg, Mississippi. The Battle of Raymond, which was fought on May 12, convinced Grant that General Joseph E. Johnston's Confederate army was too strong to be safely bypassed, so he sent two corps, under Major Generals James B. McPherson and William T. Sherman, to capture Johnston's position at Jackson. Johnston did not believe the city was defensible and began withdrawing. Brigadier General John Gregg was tasked with commanding the Confederate rear guard, which fought Sherman's and McPherson's men at Jackson on May 14 before withdrawing. After taking the city, Union troops destroyed economic and military infrastructure and also plundered civilians' homes. Grant then moved against Vicksburg, which he placed under siege on May 18 and captured on July 4. Despite being reinforced, Johnston made only a weak effort to save the Vicksburg garrison, and was driven out of Jackson a second time in mid-July."
"Battle of Jackson, Tennessee","The Battle of Jackson, also known as the Battle of Salem Cemetery, was fought on December 19, 1862, in Madison County, Tennessee, during the American Civil War."
Battle of Jankau,"The Battle of Jankau, also known as Jankov, Jankow, or Jankowitz, took place in central Bohemia on 6 March 1645, near modern Czech town of Jankov. One of the last major battles of the 1618 to 1648 Thirty Years' War, it was fought between Swedish and Imperial armies, each containing around 16,000 men. The more mobile and better led Swedes under Lennart Torstensson effectively destroyed their opponents, commanded by Melchior von Hatzfeldt. However, the devastation caused by decades of conflict meant armies now spent much of their time obtaining supplies, and the Swedes were unable to take advantage.
Imperial forces regained control of Bohemia in 1646, but inconclusive campaigns in the Rhineland and Saxony made it clear neither side had the strength or resources to impose a military solution. Although fighting continued as participants tried to improve their positions, it increased the urgency of negotiations which culminated in the 1648 Peace of Westphalia."
Battle of Jarama,"The Battle of Jarama (6–27 February 1937) was an attempt by General Francisco Franco's Nationalists to dislodge the Republican lines along the river Jarama, just east of Madrid, during the Spanish Civil War. Elite Spanish Legionnaires and Moroccan Regulares from the Army of Africa forced back the Republican Army of the Centre, including the International Brigades, but after days of fierce fighting no breakthrough was achieved. Republican counterattacks along the captured ground likewise failed, resulting in heavy casualties to both sides."
Battle of Jeddah (1813),The capture of Jeddah happened in 1813 at the west Arabian port city of Jeddah as part of the Ottoman–Saudi War.
Battle of Jemappes,"The Battle of Jemappes (6 November 1792) took place near the town of Jemappes in Hainaut, Austrian Netherlands (now Belgium), near Mons during the War of the First Coalition, part of the French Revolutionary Wars. One of the first major offensive battles of the war, it was a victory for the armies of the infant French Republic, and saw the French Armée du Nord, which included many inexperienced volunteers, defeat a substantially smaller regular Austrian army.
General Charles François Dumouriez, in command of an army of French Revolutionary volunteers, faced the Imperial army of Field Marshal Duke Albert of Saxe-Teschen and his second-in-command François de Croix, Count of Clerfayt. The French, who outnumbered their opponents by about three-to-one, launched a series of enthusiastic but uncoordinated attacks against the Austrian position on a ridge. At length, the French seized a portion of the ridge and the Austrians were unable to drive them away. Saxe-Teschen conceded defeat by ordering a withdrawal.
Jemappes was won by costly but effective charges against the Austrians' prepared position. Dumouriez overran the Austrian Netherlands within a month, but lost it at the Battle of Neerwinden in March. The French would not reconquer the Austrian Netherlands until the summer of 1794."
Battle of Jena–Auerstedt,"The twin battles of Jena and Auerstedt (German pronunciation: [ˈjeːna … ˈaʊ̯ɐ.ʃtɛt]; older spelling: Auerstädt) were fought on 14 October 1806 on the plateau west of the river Saale in today's Germany, between the forces of Napoleon I of France and Frederick William III of Prussia. The defeat suffered by the Prussian Army subjugated the Kingdom of Prussia to the French Empire until the Sixth Coalition was formed in 1813.
Several figures who were later integral to the reformation of the Prussian Army participated at Jena–Auerstedt, including Gebhard von Blücher, Carl von Clausewitz, August Neidhardt von Gneisenau, Gerhard von Scharnhorst, and Hermann von Boyen."
Battle of Jinan,"The Battle of Jinan was a critical engagement fought between the Kuomintang (KMT or Chinese Nationalist Party) and the Chinese Communist Party (CCP) from September 16 to September 24, 1948, during the Chinese Civil War. The communist Eastern China Field Army besieged and finally captured the city of Jinan, the capital of Shandong Province and a major urban center as well as a transportation hub in northeastern China that had a population of about 600,000 at the time of the battle.  The communist victory set the stage for the Huaihai Campaign.
The defenders of Jinan had become isolated in the summer of 1948, when the communist Eastern China Field Army commanded by Chen Yi captured the railway line south of the city. In charge of the city's defense was general Wang Yaowu, he commanded nine regular brigades, five security brigades, as well as special force units amounting to a total troop strength of about 100,000.
The defenses of Jinan were organized into two lines: an outer ring around the outskirts of the city and inner line following the historical city wall. The outer ring was fortified by a four-ply line of pillboxes, barbed wire, and a newly dug 3-meter wide moat. The inner ring consisted of the ancient brick wall of the city that had been strengthened with sand bags. The most valuable strategic assets of the city, the main airfield, the railroad station, and the commercial district, were located to the west of the historical city center and outside of the inner ring. Hence, they were protected only by the outer ring of defenses.
The communist forces encircled the city in a pincer movement carried out by an eastern and a western group. The eastern group was composed of the 9th column, the Bohai column, and one division of the Bohai military region. The western group consistent of the 3rd column, the 10th column, the Liang Guang column, four regiments of the mid-south Shandong column, and one division from the Jiluyu (Hebei-Shandong-Henan) Military Region. The 13th column served as the preparation team for the entire attack.
General Wu Huawen (Chinese: 吴化文; pinyin: Wú Huàwén) was in charge of the outer ring of defenses. General Wu defected to the communist side with about 8,000 of his troops before the battle began. His defection may have been prompted by letter sent to him by close relatives who had been captured by the Communists in the summer. Most of Wu's troops had fought on the Japanese side during the Second Sino-Japanese War and were integrated into Su Yu's forces immediately. After the outer ring of defenses was lost due to Wu's defection, communist forces launched a bloody assault on the historical city center.  The historical city wall was first breached at its southeastern corner around 2am on September 24. Another breach at the southwest corner also occurred before dawn. After the city wall was breached, the remaining Kuomintang garrison was quickly overrun and captured.
General Wang Yaowu tried to escape in civilian clothes but was captured in Shouguang County. Pang Jingtang(Chinese: 庞镜塘; pinyin: Páng Jìngtáng), the Kuomintang party chief in Shandong as well as 23 other high-ranking Kuomintang officials were also captured.
Jinan was the first major urban center to be captured by the communists (the Siege of Changchun had begun on May 23 already, but the city was only captured on October 19, 1948). Zhou Enlai hence referred to the Battle of Jinan as the starting point for the ""three great battles"" (Chinese: 三大战役; pinyin: sān dà zhànyì), namely the Liaoshen Campaign (the first stage of which had already begun on September 12, 1948, i.e., a few days prior to the Battle of Jinan), the Huaihai Campaign, and the Pingjin Campaign that established communist control over northern China."
Battle of Jutland,"The Battle of Jutland (German: Skagerrakschlacht, the Battle of the Skagerrak) was a naval battle between Britain's Royal Navy Grand Fleet, under Admiral Sir John Jellicoe, and the Imperial German Navy's High Seas Fleet, under Vice-Admiral Reinhard Scheer, during World War I. The battle unfolded in extensive manoeuvring and three main engagements from 31 May to 1 June 1916, off the North Sea coast of Denmark's Jutland Peninsula. It was the largest naval battle and only full-scale clash of battleships of the war, and the outcome ensured that the Royal Navy denied the German surface fleet access to the North Sea and the Atlantic for the remainder of the war, as Germany avoided all fleet-to-fleet contact thereafter. Jutland was also the last major naval battle, in any war, fought primarily by battleships.
Germany's High Seas Fleet intended to lure out, trap, and destroy a portion of the British Grand Fleet, as the German naval force was insufficient to openly engage the British fleet. This was part of a larger strategy to break the British blockade of Germany and allow German naval vessels access to the Atlantic. Britain's Royal Navy pursued a strategy of engaging and destroying the High Seas Fleet, thereby keeping German naval forces contained and away from Britain and her shipping lanes. The Germans planned to use Vice-Admiral Franz Hipper's fast scouting group of five modern battlecruisers to lure Vice-Admiral Sir David Beatty's battlecruiser squadrons into the path of the main German fleet. They stationed submarines across the likely routes of the British ships. However, the British learned from signal intercepts that a major fleet operation was likely, so on 30 May, Jellicoe sailed with the Grand Fleet to rendezvous with Beatty, passing over the German submarine picket lines while they were unprepared. The German plan had been delayed, causing further problems for their submarines, which had reached the limit of their endurance at sea.
On the afternoon of 31 May, Beatty encountered Hipper's battlecruiser force before the Germans had expected. Hipper successfully drew the British vanguard into the path of the High Seas Fleet. By the time Beatty sighted the larger force and turned back towards the British main fleet, he had lost two battlecruisers, from a force of six battlecruisers and four battleships. Beatty's withdrawal at the sight of the High Seas Fleet, which the British had not known were in the open sea, reversed the battle by drawing the Germans towards the British Grand Fleet. Between 18:30, when the sun was lowering, back-lighting the German forces, and nightfall at 20:30, the two fleets—totalling 250 ships—directly engaged twice. Fourteen British and eleven German ships sank, with a total of 9,823 casualties. After sunset Jellicoe manoeuvred to cut the Germans off from their base, hoping to continue the battle the next morning, but under the cover of darkness Scheer broke through the British light forces forming the rearguard of the Grand Fleet and returned to port.
Both sides claimed victory. The British lost more ships and twice as many sailors but succeeded in containing the German fleet. The British press criticised the Grand Fleet's failure to force a decisive outcome, while Scheer's plan of destroying a substantial portion of the British fleet failed. The British long-term strategy of denying Germany access to the United Kingdom and Atlantic succeeded. The Germans' ""fleet in being"" continued to pose a threat, requiring the British to keep their battleships concentrated in the North Sea, but the battle reinforced the German policy of avoiding all fleet-to-fleet contact. At the end of 1916, after further unsuccessful attempts to reduce the Royal Navy's numerical advantage, the German Navy accepted its surface ships had been successfully contained, turning its resources to unrestricted submarine warfare for the second time (the first attempt of the war having ended with the controversy following the sinking of the RMS Lusitania) and destruction of Allied and neutral shipping, which—with the Zimmermann Telegram—by April 1917 triggered the United States of America's declaration of war on Germany. Reviews by the Royal Navy generated disagreement between supporters of Jellicoe and Beatty, concerning their performance in battle; debate over this and the significance of the battle continues."
Battle of Kabul (1842),"The Kabul Expedition was a punitive campaign undertaken by the British against the Afghans following the disastrous retreat from Kabul. Two British and East India Company armies forced through the Khyber Pass and advanced on the Afghan capital from Kandahar and Jalalabad to avenge the complete annihilation of the British-Indian military-civilian column in January 1842.
The British force defeated the Afghans twice in battle following which they were able to recover prisoners captured during the retreat. The British demolished parts of Kabul before withdrawing to India concluding the First Anglo-Afghan War."
Battle of Kadesh,"The Battle of Kadesh took place in the 13th century BC between the Egyptian Empire led by pharaoh Ramesses II and the Hittite Empire led by king Muwatalli II. Their armies engaged each other at the Orontes River, just upstream of Lake Homs and near the archaeological site of Kadesh, along what is today the Lebanon–Syria border.
It is generally dated to May 1274 BC, as accounted by Egyptian chronology, and is the earliest pitched battle in recorded history for which details of tactics and formations are known. It is believed to be the largest battle ever fought involving chariots, a total of 5,000 to 6,000.
After being outmaneuvered, ambushed, and surrounded, in the critical moment Ramesses personally led his body guard to charge the Hittite ranks, and broke through to stem the tide of disaster."
Battle of Kakarong de Sili,"The Battle of Kakarong de Sili was fought on January 1, 1897, at Pandi, Bulacan, in the Philippines. The Kakarong Republic, based in the little fort in Pandi, was attacked by a force of Spaniards who massacred the Katipuneros there. At the end of the battle, General Eusebio Roque (also known as Maestrong Sebio and Dimabungo) was captured by the Spaniards. The Kakarong Republic was considered the first republic formed in Bulacan and in the Philippines."
Battle of Kambula,"The Battle of Kambula took place on 29 March 1879, during the Anglo-Zulu War, when a Zulu military force attacked the British camp at Kambula, having routed the mounted element of the British force at the Battle of Hlobane the day before. The battle was a decisive Zulu defeat and the Zulu warriors lost their belief in victory. The war ended after the Zulu defeat at the Battle of Ulundi on 4 July 1879."
Battle of Kampar,"The Battle of Kampar (30 December 1941 – 2 January 1942) was an engagement of the Malayan Campaign during World War II, involving British and Indian troops from the 11th Indian Infantry Division and the Japanese 5th Division.
On 27 December, in an effort to prevent the capture of RAF Kuala Lumpur, the 11th Indian Infantry Division occupied Kampar, which offered a strong natural defensive position. In doing so they were also tasked with delaying the advancing Japanese troops long enough to allow the 9th Indian Infantry Division to withdraw from the east coast. The Japanese intended to capture Kampar as a New Year’s gift to Emperor Hirohito and on 30 December the Japanese began surrounding the British and Indian positions. The following day fighting commenced. The Allied forces were able to hold on for four days before withdrawing on 2 January 1942, having achieved their objective of slowing the Japanese advance."
Battle of Kapyong,"The Battle of Kapyong (Korean: 가평전투; 22–27 April 1951), also known as the Battle of Jiaping (Chinese: 加平战斗; pinyin: Jiāpíng Zhàn Dòu), was fought during the Korean War between United Nations Command (UN) forces—primarily Canadian, Australian, and New Zealand—and the 118th and 60th Divisions of the Chinese People's Volunteer Army (PVA). The fighting occurred during the Chinese Spring Offensive and saw the 27th British Commonwealth Brigade (27th Brigade) establish blocking positions in the Kapyong Valley, on a key route south to the capital, Seoul. The two forward battalions—the 3rd Battalion, Royal Australian Regiment (3 RAR) and 2nd Battalion, Princess Patricia's Canadian Light Infantry (2 PPCLI), both battalions consisting of about 700 men each—were supported by guns from the 16th Field Regiment (16 NZFR) of the Royal Regiment of New Zealand Artillery along with two companies of US mortars, fifteen Sherman tanks from US 72nd Heavy Tank Battalion, two companies of the US 74th Engineer Combat Battalion and 1st Battalion, Middlesex Regiment. These forces occupied positions astride the valley with hastily developed defences. As thousands of soldiers from the Republic of Korea Army (ROK) began to withdraw through the valley, the PVA infiltrated the brigade position under the cover of darkness, and assaulted the 3 RAR on Hill 504 during the evening and into the following day. Five companies of the US and UK forces attached to 27th Brigade fled the battlefield without orders, expecting an imminent PVA breakthrough at the Kapyong Valley.
Although heavily outnumbered, the 3 RAR and U.S. tanks held their positions into the afternoon of April 24 before they retreated from the battlefield to a reserve position near brigade headquarters, with both sides having suffered heavy casualties. The PVA then turned their attention to the surrounded 2 PPCLI on Hill 677, whose encirclement prevented any resupply or reinforcements from entering. The 2 PPCLI were ordered to make a last stand on Hill 677. During a fierce night battle on 24/25 April the PVA forces were unable to dislodge the 2 PPCLI and sustained enormous losses. The next day, the PVA withdrew back up the valley in order to regroup, and the 2 PPCLI were relieved late on 26 April. 

The fighting helped blunt the PVA Spring Offensive and the actions of the 2 PPCLI and 3 RAR at Kapyong were critical in preventing a breakthrough against the UN central front, the encirclement of US forces in Korea, which were at that point in general retreat, and ultimately, the capture of Seoul. The 2 PPCLI and 3 RAR battalions bore the brunt of the assault and stopped PVA divisional forces estimated at 20,000 in strength during the hard-fought defensive battle. Today, the battle is regarded as the most famous and significant action fought by the Canadian and Australian armies in Korea, and the most famous battle fought by the Canadian Armed Forces since WWII."
Battle of Karkar,"The Battle of Qarqar (or Ḳarḳar) was fought in 853 BC when the army of the Neo-Assyrian Empire led by Emperor Shalmaneser III encountered an allied army of eleven kings at Qarqar led by Hadadezer, called in Assyrian Adad-idir and possibly to be identified with King Benhadad II of Aram-Damascus; and Ahab, king of Israel. This battle, fought during the 854–846 BC Assyrian conquest of Aram, is notable for having a larger number of combatants than any previous battle, and for being the first instance in which some peoples enter recorded history, such as the Arabs. The battle is recorded on the Kurkh Monoliths. Using a different rescension of the Assyrian Eponym List would put the battle's date at 854 BC.
The ancient town of Qarqar at which the battle took place has generally been identified with the modern-day archaeological site of Tell Qarqur near the village of Qarqur in Hama Governorate, northwestern Syria.
According to an inscription later erected by Shalmaneser, he had started his annual campaign, leaving Nineveh on the 14th day of Iyar. He crossed both the Tigris and Euphrates without incident, receiving the submission and tribute of several cities along the way, including Aleppo. Once past Aleppo he encountered his first resistance from troops of Irhuleni, king of the Luwian state of Ḥamā (called in Hebrew Ḥamāth), whom he defeated; in retribution, he plundered both the palaces and the cities of Irhuleni's kingdom. Continuing his march after having sacked Qarqar, he encountered the allied forces near the Orontes River."
Battle of Kepaniwai,"The Battle of Kepaniwai (""Battle of the Dammed Waters of ʻĪao"" or Kaʻuwaʻupali, ""Battle of the Clawed Cliffs"") was fought in 1790 between the islands of Hawaiʻi and Maui.  The forces of Hawaiʻi were led by Kamehameha I, while the forces of Maui were led by Kalanikūpule. It is known as one of the most bitter battles fought in Hawaiian history. 
While Maui's King Kahekili II was on Oʻahu, Kamehameha's war fleet landed in Kahului a few kilometers from the base of ʻĪao Valley. An army consisting of around twelve hundred skilled warriors led by Kamehameha and Kekuhaupiʻo, advanced on Kahekili's son Kalanikūpule and other Maui chiefs blocking the ʻĪao valley. The two armies were evenly matched and neither side broke after two days of fighting. On the third day, Kamehameha's army was helped by the use of two cannons (named ""Lopaka"" and ""Kalola"") operated by John Young and Isaac Davis, two of Kamehameha's royal advisors. Although none of Maui's major chiefs were killed, many people died resulting in the ""damming of the waters"" by the corpses floating in the river. It was said that the river ""ran red with the blood of the dead."" Chiefess Kalola and her granddaughter Keōpūolani were able to escape west through the valley to Olowalu and north to Lahaina.
After the battle, Kalola offered her 11-year-old granddaughter to Kamehameha as a future wife. Meanwhile, Keōua Kuahuʻula, the last independent chief on the Island of Hawaiʻi, who had been raiding Kamehameha's territory, quickly returned to the Big Island. This resulted in the 1790 battles of East Hawaiʻi and the 1791 battle of Kawaihae.
Kahekili II resumed his rule of Maui and also acquired cannons. In 1791, Kahekili tried to invade the island of Hawaiʻi, but was defeated in a naval battle called Kepuwahaʻulaʻula (Battle of the Red-Mouthed Gun). Kamehameha had to wait for the civil war that broke out in 1793 after the death of Kahekili II, and the battle of Nu'uanu to finally win control of Maui.


== References =="
Battle of Khafji,"The Battle of Khafji was the first major ground engagement of the Gulf War. It took place in and around the Saudi Arabian city of Khafji, from 29 January to 1 February 1991.
Iraqi leader Saddam Hussein, who had already tried and failed to draw Coalition forces into costly ground engagements by shelling Saudi Arabian positions and oil storage tanks and firing Scud surface-to-surface missiles at Israel, ordered the invasion of Saudi Arabia from southern Kuwait. The 1st and 5th Mechanized Divisions and 3rd Armored Division were ordered to conduct a multi-pronged invasion toward Khafji, engaging Saudi Arabian, Kuwaiti, and U.S. forces along the coastline, with a supporting Iraqi commando force ordered to infiltrate further south by sea and harass the Coalition's rear.
These three divisions, which had suffered significant losses from attacks by Coalition aircraft in the preceding days, attacked on 29 January. Most of their attacks were repulsed by U.S. Marine Corps and U.S. Army forces but one of the Iraqi columns occupied Khafji on the night of 29–30 January. Between 30 January and 1 February, two Saudi Arabian National Guard battalions and two Qatari tank companies attempted to retake control of the city, aided by Coalition aircraft and U.S. artillery. By 1 February, the city had been recaptured at the cost of 43 Coalition servicemen dead and 52 wounded. Iraqi Army fatalities numbered between 60 and 300, while an estimated 400 were captured as prisoners of war.
Although the invasion of Khafji was initially a propaganda victory for the Ba'athist Iraqi regime, it was swiftly recaptured by Coalition forces. The battle demonstrated the ability of air power to support ground forces."
Battle of Kharistan,"The Battle of Kharistan was fought between the forces of the Umayyad Caliphate and the Turkic Türgesh in December 737 near the town of Kharistan in Juzjan, eastern Khurasan (modern northern Afghanistan). The Umayyads, under the governor of Khurasan, Asad ibn Abdallah al-Qasri, managed to surprise and defeat the Türgesh khagan, Suluk, and his ally, the Arab renegade al-Harith ibn Surayj.
The Arab armies of the Umayyad Caliphate had conquered most of Transoxiana in the early years of the 8th century, as part of the Muslim conquests. From c. 720, Umayyad rule was increasingly challenged by attacks from the Turkic Türgesh nomads from the north, and revolts of the native princes of Transoxiana. After a major defeat in the Battle of the Defile in 731, the Umayyads lost control over most of Transoxiana, while in 734–736 al-Harith ibn Surayj led a major rebellion against the Caliphate's governors in Khurasan itself. The appointment of the veteran Asad ibn Abdallah al-Qasri brought about the defeat of Ibn Surayj, but in 737 Asad's attempt to restore Umayyad control over Khuttal ended in a debacle when the Türgesh attacked his army. Although Asad managed to save most of his force, he suffered heavy losses, and lost most of his army's baggage train and its escort in the Battle of the Baggage on 30 September. Asad withdrew to Balkh, leaving the field to the Türgesh. 
While the Arab army demobilized and returned to their homes for winter, the Türgesh ruler Suluk, now advised by Ibn Surayj, launched an invasion of Lower Tokharistan. This left Asad with far fewer men to confront the Türgesh invasion, but when the Türgesh ruler dispersed his army to raid and gather forage, Asad seized the opportunity to confront him. With 7,000 men he surprised Suluk, who had only about 4,000 troops with him, and defeated him near Kharistan. The Türgesh ruler and Ibn Surayj managed to flee, but his camp fell into Arab hands, and most of the roaming bands of the Türgesh army were destroyed. This unexpected victory shored up the threatened Umayyad position in Khurasan, while diminishing the prestige of Suluk, who fell victim to inter-Türgesh rivalries in early 738. Asad's successor Nasr ibn Sayyar was able to use the collapse of Türgesh power, and by c. 743 had restored the Arab position in Transoxiana almost to what it had been before the Türgesh intervention."
Battle of Killiecrankie,"The Battle of Killiecrankie , also known as the Battle of Rinrory, took place on 27 July 1689 during the 1689 Scottish Jacobite rising. An outnumbered Jacobite force under Sir Ewen Cameron of Lochiel and John Graham, Viscount Dundee, defeated a government army commanded by General Hugh Mackay.
James VII went into exile in December 1688 after being deposed by the Glorious Revolution in Scotland. In March 1689, he began the Williamite War in Ireland, with a simultaneous revolt led by Dundee, previously military commander in Scotland.
Hampered by lack of men and resources, Dundee gambled on a decisive battle which he hoped would attract wider support. Although Killiecrankie was an unexpected and stunning victory, his army suffered heavy casualties and he was killed in the final minutes. It did little to change the overall strategic position, and the Jacobites were unable to take advantage of their success."
Battle of Kings Mountain,"The Battle of Kings Mountain was a military engagement between Patriot and Loyalist militias in South Carolina during the Southern Campaign of the American Revolutionary War, resulting in a decisive victory for the Patriots. The battle took place on October 7, 1780, 9 miles (14 km) south of the present-day town of Kings Mountain, North Carolina. In what is now rural Cherokee County, South Carolina, the Patriot militia defeated the Loyalist militia commanded by British Major Patrick Ferguson of the 71st Foot. The battle has been described as ""the war's largest all-American fight"".
Ferguson had arrived in North Carolina in early September 1780 to recruit troops for the Loyalist militia and protect the flank of Lord Cornwallis's main force. Ferguson challenged Patriot militias to lay down their arms or suffer the consequences. In response, the Patriot militias led by Benjamin Cleveland, James Johnston, William Campbell, John Sevier, Joseph McDowell and Isaac Shelby rallied to attack Ferguson and his forces.
Receiving intelligence on the oncoming attack, Ferguson decided to retreat to the safety of Lord Cornwallis's army. However, the Patriots caught up with the Loyalists at Kings Mountain near the border with South Carolina. Achieving a complete surprise, the Patriot militiamen attacked and surrounded the Loyalists, inflicting severe casualties. After an hour of battle, Ferguson was fatally shot while trying to break the Patriot line, after which his men surrendered. Some Patriots gave no quarter until their officers re-established control over their men; they were said to be seeking revenge for alleged killings by Banastre Tarleton's militiamen at the Battle of Waxhaws, under the slogan ""Remember Tarleton's Quarter"". Although victorious, the Patriots had to retreat quickly from the area for fear of Cornwallis' advance. Later they executed nine Loyalist prisoners after a short trial.
The battle was a pivotal event in the Southern campaign. The surprising victory of the American Patriot militia over the Loyalists came after a string of Patriot defeats at the hands of Lord Cornwallis, and greatly raised the Patriots' morale. With Ferguson dead and his Loyalist militia destroyed, Cornwallis transferred his army into North Carolina and eventually Virginia."
Battle of Kircholm,"The Battle of Kircholm (Lithuanian: Salaspilio mūšis; Polish: Bitwa pod Kircholmem; Swedish: Slaget vid Kirkholm; 27 September [O.S. 17 September] 1605) was one of the major battles in the Polish–Swedish War (1600–1611). The battle was decided in 20 minutes by the devastating charge of Polish-Lithuanian cavalry, the Winged Hussars. The battle ended in the decisive victory of the Polish-Lithuanian forces, and is remembered as one of the greatest triumphs of Commonwealth cavalry."
Battle of Kleidion,"The Battle of Kleidion (Greek: Κλειδίον; or Clidium, after the medieval name of the village of Klyuch, ""(the) key""; also known as the Battle of Belasitsa) took place on July 29, 1014, between the Byzantine Empire and the Bulgarian Empire. It was the culmination of the nearly half-century struggle between the Byzantine Emperor Basil II and the Bulgarian Emperor Samuel in the late 10th and early 11th centuries. The result was a decisive Byzantine victory.
The battle took place in the valley between the mountains of Belasitsa and Ograzhden, near the modern Bulgarian village of Klyuch. The decisive encounter occurred on July 29 with an attack in the rear by a force under the Byzantine general Nikephoros Xiphias, who had infiltrated the Bulgarian positions. The ensuing battle was a major defeat for the Bulgarians. Thousands of Bulgarian soldiers were captured and blinded by order of Basil II, who would subsequently be known as the ""Bulgar-Slayer"". Samuel survived the battle, but died two months later from a heart attack, reportedly brought on by the sight of his blind soldiers.
Although the engagement did not end the First Bulgarian Empire, the Battle of Kleidion reduced its ability to resist Byzantine advances, and it has been considered the pivotal encounter of the war with Byzantium."
